File Name	Index	Sentence
DGAAR21000557.wav	0	안녕하세요.
DGAAR21000557.wav	1	최고의 요리 비결입니다.
DGAAR21000557.wav	2	그리고 일주일 동안 일식 별미 요리를 선보이고 계시는 선생님 나오셨습니다.
DGAAR21000557.wav	3	안녕하세요.
DGAAR21000557.wav	4	정말 초밥의 왕답게 오늘은 초밥을 좀 해보겠다 말씀하셨는데 두릅으로 하신다고요.
DGAAR21000557.wav	5	두릅을 가지고 봄철에, 봄에 두릅 많이 나오거든요.
DGAAR21000557.wav	6	봄철에 두릅을 무처먹어도 되지만 저는 초밥으로 만들어 보겠습니다.
DGAAR21000557.wav	7	왕이십니다요.
DGAAR21000557.wav	8	감사합니다.
DGAAR21000557.wav	9	두릅초밥 어떤 재료들이 필요한지 보겠습니다.
DGAAR21000557.wav	10	두릅도 사실 보면 종류가 몇 가지가 있는 것 같아요.
DGAAR21000557.wav	11	여러 종류가 있습니다.
DGAAR21000557.wav	12	그런데 선생님 재료는 어떤 걸로?
DGAAR21000557.wav	13	지금 요즘 재배한 건데요.
DGAAR21000557.wav	14	원상재배한 건데.
DGAAR21000557.wav	15	자연산이 많이 나올 때죠?
DGAAR21000557.wav	16	지금 나올 때죠.
DGAAR21000557.wav	17	제가 이걸 가지고 왔는데요.
DGAAR21000557.wav	18	자연산을 가지고 이용을 해도 됩니다.
DGAAR21000557.wav	19	그럼 두릅부터 우리가 손질을 해볼까요?
DGAAR21000557.wav	20	두릅 이렇게 가시가 많은 나무에서 자라죠.
DGAAR21000557.wav	21	이렇게 잘라서 두릅을 이렇게 잘라야 되거든요.
DGAAR21000557.wav	22	잘못 잘라면 손 다치니까 삶아 가지고 물로 이렇게 약으로도 쓰고 있습니다.
DGAAR21000557.wav	23	제가 칼로 잘랐지 않습니까?
DGAAR21000557.wav	24	자른걸 어떻게 하는지 보시고요.
DGAAR21000557.wav	25	띄어내야 되겠죠.
DGAAR21000557.wav	26	띄어내고 가운데를 이렇게 칼을 10십자로 냅니다.
DGAAR21000557.wav	27	칼을 안쪽으로 이용해서 왜냐하면 이게 좀 같이 똑같이 되어지더라도 속에 좀 덜 익지 않습니까?
DGAAR21000557.wav	28	제대로 익으라고 이렇게 칼 끝으로 합니다.
DGAAR21000557.wav	29	다 끝으로 하는게 아니라 안쪽으로 합니다.
DGAAR21000557.wav	30	끝으로 하면 위험합니다.
DGAAR21000557.wav	31	홈을 내주는 거예요.
DGAAR21000557.wav	32	그렇죠.
DGAAR21000557.wav	33	이렇게 조금씩만 쪄놓고 이렇게 칼을 넣습니다.
DGAAR21000557.wav	34	지금 물이 끓고 있는데요.
DGAAR21000557.wav	35	얘를 그냥 데치면 안되고요.
DGAAR21000557.wav	36	불을 약간만 제가 줄이고 약간만 줄이고 있어요.
DGAAR21000557.wav	37	이거를 이렇게 해서 지금 손이 좀 뜨거울 수도 있거든요.
DGAAR21000557.wav	38	그래서 만약에 뜨거울 때는 고무 반도를 이렇게 묶어서 이렇게 해도 되고요.
DGAAR21000557.wav	39	장갑을 끼고 하시면 이렇게 불을 약하게 해놨기 때문에 그렇게 뜨겁진 않을 거예요.
DGAAR21000557.wav	40	그러면은 자 이렇게 지금 저거 끓지 않습니까?
DGAAR21000557.wav	41	왜냐면 같이 넣으면은 여기는 안 익고 여기는 익고 그러잖아요.
DGAAR21000557.wav	42	그 차이점이 있기 때문에 이렇게 하는 거예요.
DGAAR21000557.wav	43	그러면 이렇게 지금 보세요.
DGAAR21000557.wav	44	제가 그래서 곰팡이들 이용해도 된다고 그랬죠?
DGAAR21000557.wav	45	그냥 이제 조금 그대로 좀 약 한 1, 2분 정도는 더 먼저 익게끔 둡니다.
DGAAR21000557.wav	46	이제 익었다 싶으잖아요.
DGAAR21000557.wav	47	그죠?
DGAAR21000557.wav	48	그럴 때는 이걸 넣습니다.
DGAAR21000557.wav	49	이렇게 해서 너무 삶는다 하면 색깔부터가 삶으면 어떻게 변하지 않습니까?
DGAAR21000557.wav	50	아주 새파란색이 나오는데.
DGAAR21000557.wav	51	새파란색이 나지 않고 색깔이 약간 좀 검은색이 나죠.
DGAAR21000557.wav	52	너무 삶으면 검은색이 나죠.
DGAAR21000557.wav	53	지금 새파랗게 삶아지는데 지금이 좋을 때네요.
DGAAR21000557.wav	54	살짝 데쳐서 먹지 않습니까?
DGAAR21000557.wav	55	생으로도 먹는 분들도 계시는데요.
DGAAR21000557.wav	56	네, 맞습니다.
DGAAR21000557.wav	57	됐고요.
DGAAR21000557.wav	58	이렇게 해서.
DGAAR21000557.wav	59	네 됐어요
DGAAR21000557.wav	60	자 이래서 두릅을 삶았습니다
DGAAR21000557.wav	61	살짝 데쳐가지고 이것도 소스를 또 만들어야 돼요
DGAAR21000557.wav	62	소스를 만드는데 보통 제가 이 다시물을 이용을 하거든요
DGAAR21000557.wav	63	다시방물입니다
DGAAR21000557.wav	64	지금 어디에 들어갈 소스인가요 선생님?
DGAAR21000557.wav	65	여기 지금 둘, 셋, 넷, 다섯 개를 제가 냈습니다
DGAAR21000557.wav	66	왜냐하면 너무 많이 넣어도 안 되니까 왜냐하면 두릅의 양의 비를 내야 되기 때문에 두릅이 작기 때문에 5개를 넣었죠.
DGAAR21000557.wav	67	간장을 갖다가 2분 1정도
DGAAR21000557.wav	68	그렇죠.
DGAAR21000557.wav	69	소스 양이 많은 걸 보니까 담그시려고 그러시는 거예요?
DGAAR21000557.wav	70	네.
DGAAR21000557.wav	71	그렇습니다.
DGAAR21000557.wav	72	끓으면 담그는 거예요.
DGAAR21000557.wav	73	자.
DGAAR21000557.wav	74	이게 맛술이거든요.
